learner_id,readiness_high,barrier_flag,baseline_band,offer,skill_gain,engagement_week4
L0001,0,0,-0.5,1,-1.245551,6.851967
L0002,0,0,-0.5,0,-3.097933,0.953787
L0003,0,0,-0.5,0,0.389508,3.090833
L0004,0,0,-0.5,0,-1.469471,3.797742
L0005,0,0,-0.5,1,2.181471,6.717313
L0006,0,0,-0.5,1,-0.685061,5.450666
L0007,0,0,-0.5,0,-2.575849,4.727693
L0008,0,0,-0.5,1,1.075807,4.912974
L0009,0,0,-0.5,0,2.828503,2.402544
L0010,0,0,-0.5,1,-0.168743,4.694745
L0011,0,0,-0.5,0,3.569042,4.822690
L0012,0,0,-0.5,1,-0.905780,4.946856
L0013,0,0,-0.5,0,2.154980,4.042047
L0014,0,0,-0.5,0,2.476738,4.351569
L0015,0,0,-0.5,0,1.764835,3.922781
L0016,0,0,-0.5,0,1.508357,4.170560
L0017,0,0,-0.5,0,-1.017138,3.206754
L0018,0,0,-0.5,0,1.326469,4.047853
L0019,0,0,-0.5,1,-1.618062,5.213152
L0020,0,0,-0.5,0,-0.178094,2.600376
L0022,0,0,-0.5,1,-0.736658,3.508459
L0023,0,0,-0.5,0,2.498557,4.088499
L0025,0,0,-0.5,0,-1.017834,3.449225
L0026,0,0,-0.5,0,-0.046234,2.323389
L0027,0,0,-0.5,0,3.668037,2.839306
L0029,0,0,-0.5,1,0.218154,7.503874
L0030,0,0,-0.5,0,-2.415354,2.724460
L0031,0,0,-0.5,0,-1.911214,5.893450
L0032,0,0,-0.5,0,1.484792,1.844943
L0034,0,0,-0.5,0,0.653859,4.579522
L0037,0,0,-0.5,1,-0.409982,6.835127
L0038,0,0,-0.5,1,-1.802393,4.953643
L0041,0,0,-0.5,0,0.121093,2.450603
L0042,0,0,-0.5,1,-4.015629,5.794708
L0043,0,0,-0.5,1,0.666502,4.484576
L0044,0,0,-0.5,0,1.812605,2.754769
L0047,0,0,-0.5,1,-0.985083,5.728946
L0048,0,0,-0.5,1,-1.447186,7.010547
L0049,0,0,-0.5,0,3.007140,2.541837
L0050,0,0,-0.5,1,-0.404172,6.830277
L0052,0,0,-0.5,0,-0.823080,4.834576
L0053,0,0,-0.5,1,-2.462449,4.170771
L0055,0,0,-0.5,1,-0.503111,5.459455
L0056,0,0,-0.5,0,1.783585,5.206155
L0057,0,0,-0.5,0,1.392100,5.320224
L0058,0,0,-0.5,1,-1.658053,7.370758
L0060,0,0,-0.5,1,-2.172294,6.879916
L0061,0,0,-0.5,0,1.326784,2.771400
L0062,0,0,-0.5,1,0.575555,6.191225
