learner_id,readiness_high,barrier_flag,baseline_band,offer,skill_gain,engagement_week4
L0021,0,0,-0.5,0,0.064823,5.204690
L0024,0,0,-0.5,0,1.915116,2.669486
L0028,0,0,-0.5,1,0.074641,7.165352
L0033,0,0,-0.5,0,1.002723,5.894145
L0035,0,0,-0.5,1,-0.331427,4.786533
L0036,0,0,-0.5,1,-2.215477,4.401876
L0039,0,0,-0.5,1,-0.926663,6.153757
L0040,0,0,-0.5,1,0.573196,5.131961
L0045,0,0,-0.5,1,-0.252330,4.379046
L0046,0,0,-0.5,1,-0.748805,4.304988
L0051,0,0,-0.5,1,-3.144713,4.989099
L0054,0,0,-0.5,1,0.540854,6.970250
L0059,0,0,-0.5,1,0.782683,5.819097
L0067,0,0,-0.5,1,3.714037,5.968502
L0074,0,0,-0.5,1,-4.245177,6.362016
L0079,0,0,-0.5,0,-1.161022,3.684290
L0081,0,0,-0.5,1,-2.767829,6.353649
L0083,0,0,-0.5,0,1.158984,2.616371
L0085,0,0,-0.5,0,1.853890,4.168436
L0087,0,0,-0.5,0,4.072292,1.857792
L0091,0,0,-0.5,1,-2.033410,6.480177
L0100,0,0,-0.5,1,-0.651932,5.708570
L0102,0,0,-0.5,0,1.298206,4.426155
L0103,0,0,-0.5,1,-1.943991,5.429701
L0104,0,0,-0.5,0,6.069033,1.596188
L0106,0,0,-0.5,0,0.520467,3.187150
L0109,0,0,-0.5,1,-0.386597,5.870056
L0113,0,0,-0.5,0,2.500687,3.333588
L0114,0,0,-0.5,0,0.477463,3.735773
L0120,0,0,-0.5,1,-2.352372,5.599305
L0127,0,0,-0.5,0,0.116394,3.150753
L0129,0,0,-0.5,0,-1.484106,1.526997
L0130,0,0,-0.5,0,-2.619655,2.327675
L0136,0,0,-0.5,1,-1.422519,6.988464
L0138,0,0,-0.5,1,-2.474035,4.139752
L0139,0,0,-0.5,0,-2.244798,3.919607
L0140,0,0,-0.5,1,-0.306700,5.437584
L0146,0,0,-0.5,1,1.419059,7.295748
L0150,0,0,-0.5,1,-4.867202,4.789970
L0153,0,0,-0.5,1,-1.491953,6.352759
L0157,0,0,-0.5,0,1.887681,5.003366
L0159,0,0,-0.5,0,-0.040845,2.939164
L0160,0,0,-0.5,1,0.182673,7.066868
L0161,0,0,-0.5,1,1.405972,5.865280
L0164,0,0,-0.5,0,1.486290,4.548806
L0165,0,0,-0.5,0,-0.189679,2.801975
L0174,0,0,-0.5,0,0.661110,2.603272
L0175,0,0,-0.5,1,2.288745,6.318197
L0186,0,0,-0.5,1,-5.719342,6.934464
L0194,0,0,-0.5,0,2.397632,4.015112
L0197,0,0,-0.5,0,0.493010,2.367889
L0200,0,0,-0.5,0,0.448763,2.856848
L0204,0,0,-0.5,0,-2.827349,3.239961
L0205,0,0,-0.5,0,1.200854,4.327105
L0207,0,0,-0.5,0,0.954806,2.921241
L0209,0,0,-0.5,0,7.075006,3.310068
L0212,0,0,-0.5,0,0.972593,0.977750
