participant_id,program_received,baseline_score,completed_12weeks,recorded_program_start,outcome_window_end
P001,1,,1,2025-02-03,2025-04-28
P002,1,,1,2025-02-03,2025-04-28
P003,1,,1,2025-02-03,2025-04-28
P004,1,,1,2025-02-03,2025-04-28
P005,1,,1,2025-02-03,2025-04-28
P006,1,,1,2025-02-03,2025-04-28
P007,1,,1,2025-02-03,2025-04-28
P008,1,,1,2025-02-03,2025-04-28
P009,1,,1,2025-02-03,2025-04-28
P010,1,,1,2025-02-03,2025-04-28
P011,1,,1,2025-02-03,2025-04-28
P012,1,,1,2025-02-03,2025-04-28
P013,1,,1,2025-02-03,2025-04-28
P014,1,,1,2025-02-03,2025-04-28
P015,1,,1,2025-02-03,2025-04-28
P016,1,,1,2025-02-03,2025-04-28
P017,1,,1,2025-02-03,2025-04-28
P018,1,,1,2025-02-03,2025-04-28
P019,1,49,1,2025-02-03,2025-04-28
P020,1,56,1,2025-02-03,2025-04-28
P021,1,63,1,2025-02-03,2025-04-28
P022,1,70,1,2025-02-03,2025-04-28
P023,1,46,1,2025-02-03,2025-04-28
P024,1,53,1,2025-02-03,2025-04-28
P025,1,60,1,2025-02-03,2025-04-28
P026,1,67,1,2025-02-03,2025-04-28
P027,1,43,1,2025-02-03,2025-04-28
P028,1,50,1,2025-02-03,2025-04-28
P029,1,57,1,2025-02-03,2025-04-28
P030,1,64,1,2025-02-03,2025-04-28
P031,1,40,1,2025-02-03,2025-04-28
P032,1,47,1,2025-02-03,2025-04-28
P033,1,54,1,2025-02-03,2025-04-28
P034,1,61,1,2025-02-03,2025-04-28
P035,1,68,1,2025-02-03,2025-04-28
P036,1,44,1,2025-02-03,2025-04-28
P037,1,51,1,2025-02-03,2025-04-28
P038,1,58,1,2025-02-03,2025-04-28
P039,1,65,1,2025-02-03,2025-04-28
P040,1,41,1,2025-02-03,2025-04-28
P041,1,48,1,2025-02-03,2025-04-28
P042,1,55,1,2025-02-03,2025-04-28
P043,1,62,1,2025-02-03,2025-04-28
P044,1,69,1,2025-02-03,2025-04-28
P045,1,45,1,2025-02-03,2025-04-28
P046,1,52,1,2025-02-03,2025-04-28
P047,1,59,1,2025-02-03,2025-04-28
P048,1,66,1,2025-02-03,2025-04-28
P049,1,42,1,2025-02-03,2025-04-28
P050,1,49,1,2025-02-03,2025-04-28
P051,1,56,1,2025-02-03,2025-04-28
P052,1,63,1,2025-02-03,2025-04-28
P053,1,70,1,2025-02-03,2025-04-28
P054,1,46,1,2025-02-03,2025-04-28
P055,1,53,1,2025-02-03,2025-04-28
P056,1,60,1,2025-02-03,2025-04-28
P057,1,67,1,2025-02-03,2025-04-28
P058,1,43,1,2025-02-03,2025-04-28
P059,1,50,1,2025-02-03,2025-04-28
P060,1,57,1,2025-02-03,2025-04-28
P061,1,64,0,2025-02-03,2025-04-28
P062,1,40,0,2025-02-03,2025-04-28
P063,1,47,0,2025-02-03,2025-04-28
P064,1,54,0,2025-02-03,2025-04-28
P065,1,61,0,2025-02-03,2025-04-28
P066,1,68,0,2025-02-03,2025-04-28
P067,1,44,0,2025-02-03,2025-04-28
P068,1,51,0,2025-02-03,2025-04-28
P069,1,58,0,2025-02-03,2025-04-28
P070,1,65,0,2025-02-03,2025-04-28
P071,1,41,0,2025-02-03,2025-04-28
P072,1,48,0,2025-02-03,2025-04-28
P073,1,55,0,2025-02-03,2025-04-28
P074,1,62,0,2025-02-03,2025-04-28
P075,1,69,0,2025-02-03,2025-04-28
P076,1,45,0,2025-02-03,2025-04-28
P077,1,52,0,2025-02-03,2025-04-28
P078,1,59,0,2025-02-03,2025-04-28
P079,1,66,0,2025-02-03,2025-04-28
P080,1,42,0,2025-02-03,2025-04-28
P081,1,49,0,2025-02-03,2025-04-28
P082,1,56,0,2025-02-03,2025-04-28
P083,1,63,0,2025-02-03,2025-04-28
P084,1,70,0,2025-02-03,2025-04-28
P085,1,46,0,2025-02-03,2025-04-28
P086,1,53,0,2025-02-03,2025-04-28
P087,1,60,0,2025-02-03,2025-04-28
P088,1,67,0,2025-02-03,2025-04-28
P089,1,43,0,2025-02-03,2025-04-28
P090,1,50,0,2025-02-03,2025-04-28
P091,1,57,,2025-02-03,2025-04-28
P092,1,64,,2025-02-03,2025-04-28
P093,1,40,,2025-02-03,2025-04-28
P094,1,47,,2025-02-03,2025-04-28
P095,1,54,,2025-02-03,2025-04-28
P096,1,61,,2025-02-03,2025-04-28
P097,1,68,,2025-02-03,2025-04-28
P098,1,44,,2025-02-03,2025-04-28
P099,1,51,,2025-02-03,2025-04-28
P100,1,58,,2025-02-03,2025-04-28
P101,1,65,,2025-02-03,2025-04-28
P102,1,41,,2025-02-03,2025-04-28
P103,1,48,,2025-02-03,2025-04-28
P104,1,55,,2025-02-03,2025-04-28
P105,1,62,,2025-02-03,2025-04-28
P106,1,69,,2025-02-03,2025-04-28
P107,1,45,,2025-02-03,2025-04-28
P108,1,52,,2025-02-03,2025-04-28
P109,1,59,,2025-02-03,2025-04-28
P110,1,66,,2025-02-03,2025-04-28
P111,1,42,,2025-02-03,2025-04-28
P112,1,49,,2025-02-03,2025-04-28
P113,1,56,,2025-02-03,2025-04-28
P114,1,63,,2025-02-03,2025-04-28
P115,1,70,,2025-02-03,2025-04-28
P116,1,46,,2025-02-03,2025-04-28
P117,1,53,,2025-02-03,2025-04-28
P118,1,60,,2025-02-03,2025-04-28
P119,1,67,,2025-02-03,2025-04-28
P120,1,43,,2025-02-03,2025-04-28
P001,1,,1,2025-02-03,2025-04-28
P002,1,,1,2025-02-03,2025-04-28
P003,1,,1,2025-02-03,2025-04-28
P004,1,,1,2025-02-03,2025-04-28
P005,1,,1,2025-02-03,2025-04-28
P006,1,,1,2025-02-03,2025-04-28
P007,1,,1,2025-02-03,2025-04-28
P008,1,,1,2025-02-03,2025-04-28
P009,1,,1,2025-02-03,2025-04-28
P010,1,,1,2025-02-03,2025-04-28
P011,1,,1,2025-02-03,2025-04-28
P012,1,,1,2025-02-03,2025-04-28
