site_id,year,readiness_high,adopted_2025,mean_skill_score
S001,2022,0,0,47.623079
S001,2023,0,0,50.826445
S001,2024,0,0,50.629311
S001,2025,0,0,47.596955
S001,2026,0,0,52.903872
S002,2022,0,0,40.514742
S002,2023,0,0,43.279538
S002,2024,0,0,42.969890
S002,2025,0,0,44.136575
S002,2026,0,0,47.131029
S003,2022,0,0,50.868531
S003,2023,0,0,51.355942
S003,2024,0,0,53.345385
S003,2025,0,0,53.494252
S003,2026,0,0,54.402724
S004,2022,0,0,48.466283
S004,2023,0,0,50.043724
S004,2024,0,0,53.856540
S004,2025,0,0,52.265057
S004,2026,0,0,53.750086
S005,2022,0,0,45.964254
S005,2023,0,0,44.370374
S005,2024,0,0,50.617771
S005,2025,0,0,49.385252
S005,2026,0,0,47.784773
S006,2022,0,1,50.205355
S006,2023,0,1,53.386439
S006,2024,0,1,53.907981
S006,2025,0,1,57.749816
S006,2026,0,1,61.088970
S007,2022,0,0,46.966988
S007,2023,0,0,44.730731
S007,2024,0,0,50.446152
S007,2025,0,0,50.497849
S007,2026,0,0,48.088711
S008,2022,0,1,54.797682
S008,2023,0,1,55.552497
S008,2024,0,1,56.098473
S008,2025,0,1,57.734632
S008,2026,0,1,58.705758
S009,2022,0,0,46.907848
S009,2023,0,0,47.721134
S009,2024,0,0,49.584733
S009,2025,0,0,53.258317
S009,2026,0,0,49.204872
S010,2022,0,0,47.145125
S010,2023,0,0,46.924135
S010,2024,0,0,47.586143
S010,2025,0,0,51.053621
S010,2026,0,0,50.361622
S011,2022,0,0,48.100586
S011,2023,0,0,46.095756
S011,2024,0,0,46.761885
S011,2025,0,0,48.759856
S011,2026,0,0,52.895598
S012,2022,0,1,49.977937
S012,2023,0,1,49.399181
S012,2024,0,1,52.261878
S012,2025,0,1,55.371214
S012,2026,0,1,56.834259
S013,2022,0,0,52.563290
S013,2023,0,0,50.413049
S013,2024,0,0,52.832488
S013,2025,0,0,53.564243
S013,2026,0,0,59.214655
S014,2022,0,1,47.470397
S014,2023,0,1,52.761440
S014,2024,0,1,52.089007
S014,2025,0,1,57.687050
S014,2026,0,1,56.673091
S015,2022,0,1,49.971733
S015,2023,0,1,52.445276
S015,2024,0,1,50.787486
S015,2025,0,1,53.959309
S015,2026,0,1,56.177841
S016,2022,0,0,49.813227
S016,2023,0,0,51.310155
S016,2024,0,0,53.598174
S016,2025,0,0,56.592683
S016,2026,0,0,55.336426
S017,2022,0,0,43.465989
S017,2023,0,0,42.269395
S017,2024,0,0,46.161617
S017,2025,0,0,47.726558
S017,2026,0,0,49.017442
S018,2022,0,0,48.714519
S018,2023,0,0,49.670921
S018,2024,0,0,48.064577
S018,2025,0,0,52.474265
S018,2026,0,0,52.598344
S019,2022,0,1,51.719531
S019,2023,0,1,51.094486
S019,2024,0,1,51.440228
S019,2025,0,1,56.944547
S019,2026,0,1,56.787508
S020,2022,0,0,54.588461
S020,2023,0,0,58.376628
S020,2024,0,0,57.568676
S020,2025,0,0,60.059623
S020,2026,0,0,59.158587
S021,2022,0,1,41.966745
S021,2023,0,1,46.965498
S021,2024,0,1,47.306820
S021,2025,0,1,53.720209
S021,2026,0,1,53.161095
S022,2022,0,1,49.930110
S022,2023,0,1,50.289126
S022,2024,0,1,53.843727
S022,2025,0,1,54.689588
S022,2026,0,1,57.541964
S023,2022,0,0,44.477122
S023,2023,0,0,42.140544
S023,2024,0,0,45.855864
S023,2025,0,0,44.356679
S023,2026,0,0,44.032553
S024,2022,0,0,48.965544
S024,2023,0,0,49.218231
S024,2024,0,0,51.191645
S024,2025,0,0,54.960460
S024,2026,0,0,54.677158
S025,2022,0,1,55.706679
S025,2023,0,1,54.379669
S025,2024,0,1,56.871880
S025,2025,0,1,59.049875
S025,2026,0,1,57.843121
S026,2022,0,0,54.184780
S026,2023,0,0,56.036459
S026,2024,0,0,58.481629
S026,2025,0,0,59.276128
S026,2026,0,0,61.731154
S027,2022,0,0,44.837627
S027,2023,0,0,46.998255
S027,2024,0,0,43.512940
S027,2025,0,0,46.590836
S027,2026,0,0,47.150884
S028,2022,0,1,55.329971
S028,2023,0,1,55.948549
S028,2024,0,1,56.916455
S028,2025,0,1,60.860994
S028,2026,0,1,58.354549
S029,2022,0,0,50.886324
S029,2023,0,0,53.334266
S029,2024,0,0,53.302286
S029,2025,0,0,54.688934
S029,2026,0,0,58.668188
S030,2022,0,0,47.653987
S030,2023,0,0,49.585007
S030,2024,0,0,50.127184
S030,2025,0,0,52.182408
S030,2026,0,0,54.671279
S031,2022,0,0,47.522068
S031,2023,0,0,49.359246
S031,2024,0,0,51.236137
S031,2025,0,0,50.433966
S031,2026,0,0,52.342603
S032,2022,0,1,56.412942
S032,2023,0,1,57.160022
S032,2024,0,1,56.047274
S032,2025,0,1,59.744833
S032,2026,0,1,62.992989
S033,2022,0,0,44.910442
S033,2023,0,0,44.883291
S033,2024,0,0,47.483610
S033,2025,0,0,47.731023
S033,2026,0,0,50.506946
S034,2022,0,0,41.555256
S034,2023,0,0,41.557963
S034,2024,0,0,44.264614
S034,2025,0,0,42.637282
S034,2026,0,0,45.473755
S035,2022,0,0,46.765937
S035,2023,0,0,46.630234
S035,2024,0,0,45.907855
S035,2025,0,0,49.445469
S035,2026,0,0,51.831030
S036,2022,0,1,51.943362
S036,2023,0,1,52.735966
S036,2024,0,1,51.618655
S036,2025,0,1,56.077622
S036,2026,0,1,54.788817
S037,2022,0,0,53.002943
S037,2023,0,0,50.714101
S037,2024,0,0,53.541158
S037,2025,0,0,55.446799
S037,2026,0,0,53.902923
S038,2022,0,1,50.283193
S038,2023,0,1,53.183019
S038,2024,0,1,55.824443
S038,2025,0,1,54.279863
S038,2026,0,1,56.733323
S039,2022,0,0,43.816365
S039,2023,0,0,43.816852
S039,2024,0,0,44.272625
S039,2025,0,0,47.068818
S039,2026,0,0,46.154227
S040,2022,0,0,51.215756
S040,2023,0,0,52.111738
S040,2024,0,0,48.063647
S040,2025,0,0,53.259963
S040,2026,0,0,51.832755
S041,2022,0,0,50.660873
S041,2023,0,0,53.792044
S041,2024,0,0,51.741446
S041,2025,0,0,53.413507
S041,2026,0,0,55.295269
S042,2022,0,0,41.638201
S042,2023,0,0,49.133823
S042,2024,0,0,45.023703
S042,2025,0,0,47.977203
S042,2026,0,0,50.517345
S043,2022,0,0,47.716400
S043,2023,0,0,47.731860
S043,2024,0,0,49.128281
S043,2025,0,0,50.629538
S043,2026,0,0,49.931484
S044,2022,0,0,47.590658
S044,2023,0,0,44.569595
S044,2024,0,0,49.053338
S044,2025,0,0,51.618783
S044,2026,0,0,50.482849
S045,2022,0,0,54.275236
S045,2023,0,0,55.332730
S045,2024,0,0,57.254694
S045,2025,0,0,58.687546
S045,2026,0,0,62.160464
S046,2022,0,0,46.930691
S046,2023,0,0,46.286859
S046,2024,0,0,50.216526
S046,2025,0,0,50.247342
S046,2026,0,0,51.408115
S047,2022,0,0,46.749296
S047,2023,0,0,51.137497
S047,2024,0,0,48.812622
S047,2025,0,0,50.009563
S047,2026,0,0,55.032843
S048,2022,0,1,45.041393
S048,2023,0,1,46.349658
S048,2024,0,1,49.789009
S048,2025,0,1,56.111308
S048,2026,0,1,54.505612
S049,2022,0,0,42.831772
S049,2023,0,0,44.851145
S049,2024,0,0,45.384422
S049,2025,0,0,43.629040
S049,2026,0,0,48.339168
S050,2022,0,0,47.364340
S050,2023,0,0,49.863276
S050,2024,0,0,50.139100
S050,2025,0,0,52.119327
S050,2026,0,0,50.489619
S051,2022,0,0,46.408268
S051,2023,0,0,49.713830
S051,2024,0,0,51.382014
S051,2025,0,0,55.197296
S051,2026,0,0,52.568591
S052,2022,0,0,50.761032
S052,2023,0,0,49.428889
S052,2024,0,0,50.834489
S052,2025,0,0,56.138831
S052,2026,0,0,54.156228
S053,2022,0,0,48.614293
S053,2023,0,0,47.979746
S053,2024,0,0,50.371404
S053,2025,0,0,50.568733
S053,2026,0,0,50.469222
S054,2022,0,0,51.329258
S054,2023,0,0,54.301805
S054,2024,0,0,56.040566
S054,2025,0,0,53.939582
S054,2026,0,0,52.340805
S055,2022,0,0,45.091952
S055,2023,0,0,47.610270
S055,2024,0,0,47.398013
S055,2025,0,0,48.930119
S055,2026,0,0,51.880443
S056,2022,0,0,50.339567
S056,2023,0,0,48.980118
S056,2024,0,0,53.215005
S056,2025,0,0,53.126565
S056,2026,0,0,52.095239
S057,2022,0,0,42.521529
S057,2023,0,0,44.280696
S057,2024,0,0,47.149820
S057,2025,0,0,48.517709
S057,2026,0,0,46.718838
S058,2022,0,1,53.284974
S058,2023,0,1,54.359086
S058,2024,0,1,53.363724
S058,2025,0,1,56.465002
S058,2026,0,1,56.589416
S059,2022,0,0,47.748869
S059,2023,0,0,48.743684
S059,2024,0,0,49.230937
S059,2025,0,0,51.686106
S059,2026,0,0,52.142756
S060,2022,0,0,43.366951
S060,2023,0,0,45.000707
S060,2024,0,0,47.453564
S060,2025,0,0,45.259832
S060,2026,0,0,48.118542
S061,2022,1,1,49.860532
S061,2023,1,1,50.585888
S061,2024,1,1,53.418581
S061,2025,1,1,62.284533
S061,2026,1,1,61.732937
S062,2022,1,1,48.996131
S062,2023,1,1,48.223378
S062,2024,1,1,51.284376
S062,2025,1,1,59.197426
S062,2026,1,1,60.699533
S063,2022,1,1,49.994139
S063,2023,1,1,51.043860
S063,2024,1,1,51.500117
S063,2025,1,1,61.007690
S063,2026,1,1,62.217709
S064,2022,1,1,55.688674
S064,2023,1,1,54.524522
S064,2024,1,1,57.988338
S064,2025,1,1,62.812411
S064,2026,1,1,67.199679
S065,2022,1,1,55.101502
S065,2023,1,1,60.366640
S065,2024,1,1,61.512853
S065,2025,1,1,70.489019
S065,2026,1,1,70.658552
S066,2022,1,0,48.496451
S066,2023,1,0,47.132805
S066,2024,1,0,49.184178
S066,2025,1,0,51.781249
