site_id,readiness_high,adopted_2025
S001,0,0
S002,0,0
S003,0,0
S004,0,0
S005,0,0
S006,0,1
S007,0,0
S008,0,1
S009,0,0
S010,0,0
S011,0,0
S012,0,1
S013,0,0
S014,0,1
S015,0,1
S016,0,0
S017,0,0
S018,0,0
S019,0,1
S020,0,0
S021,0,1
S022,0,1
S023,0,0
S024,0,0
S025,0,1
S026,0,0
S027,0,0
S028,0,1
S029,0,0
S030,0,0
S031,0,0
S032,0,1
S033,0,0
S034,0,0
S035,0,0
S036,0,1
S037,0,0
S038,0,1
S039,0,0
S040,0,0
S041,0,0
S042,0,0
S043,0,0
S044,0,0
S045,0,0
S046,0,0
S047,0,0
S048,0,1
S049,0,0
S050,0,0
S051,0,0
S052,0,0
S053,0,0
S054,0,0
S055,0,0
S056,0,0
S057,0,0
S058,0,1
S059,0,0
S060,0,0
S061,1,1
S062,1,1
S063,1,1
S064,1,1
S065,1,1
S066,1,0
S067,1,1
S068,1,1
S069,1,1
S070,1,1
S071,1,1
S072,1,1
S073,1,1
S074,1,1
S075,1,1
S076,1,1
S077,1,1
S078,1,1
S079,1,1
S080,1,1
S081,1,1
S082,1,0
S083,1,1
S084,1,0
S085,1,1
S086,1,1
S087,1,0
S088,1,0
S089,1,1
S090,1,0
S091,1,1
S092,1,1
S093,1,1
S094,1,1
S095,1,0
S096,1,1
S097,1,1
S098,1,1
S099,1,0
S100,1,0
S101,1,1
S102,1,1
S103,1,0
S104,1,1
S105,1,0
S106,1,1
S107,1,1
S108,1,0
S109,1,1
S110,1,0
S111,1,1
S112,1,0
S113,1,1
S114,1,1
S115,1,1
S116,1,1
S117,1,1
S118,1,1
S119,1,0
S120,1,1
